homeownership,income,age,amount,year
owner,Less than $10000,Under 25 years old,143,2011
owner,Less than $10000,25 to 29 years old,144,2011
owner,Less than $10000,30 to 34 years old,176,2011
owner,Less than $10000,35 to 44 years old,412,2011
owner,Less than $10000,45 to 54 years old,716,2011
owner,Less than $10000,55 to 64 years old,1003,2011
owner,Less than $10000,65 to 74 years old,817,2011
owner,Less than $10000,75 years old and over,1135,2011
owner,$10000 to $19999,Under 25 years old,78,2011
owner,$10000 to $19999,25 to 29 years old,137,2011
owner,$10000 to $19999,30 to 34 years old,152,2011
owner,$10000 to $19999,35 to 44 years old,430,2011
owner,$10000 to $19999,45 to 54 years old,757,2011
owner,$10000 to $19999,55 to 64 years old,1006,2011
owner,$10000 to $19999,65 to 74 years old,1301,2011
owner,$10000 to $19999,75 years old and over,2069,2011
owner,$20000 to $29999,Under 25 years old,96,2011
owner,$20000 to $29999,25 to 29 years old,213,2011
owner,$20000 to $29999,30 to 34 years old,324,2011
owner,$20000 to $29999,35 to 44 years old,785,2011
owner,$20000 to $29999,45 to 54 years old,1225,2011
owner,$20000 to $29999,55 to 64 years old,1651,2011
owner,$20000 to $29999,65 to 74 years old,1727,2011
owner,$20000 to $29999,75 years old and over,1975,2011
owner,$30000 to $39999,Under 25 years old,100,2011
owner,$30000 to $39999,25 to 29 years old,307,2011
owner,$30000 to $39999,30 to 34 years old,413,2011
owner,$30000 to $39999,35 to 44 years old,884,2011
owner,$30000 to $39999,45 to 54 years old,1229,2011
owner,$30000 to $39999,55 to 64 years old,1460,2011
owner,$30000 to $39999,65 to 74 years old,1513,2011
owner,$30000 to $39999,75 years old and over,1243,2011
owner,$40000 to $49999,Under 25 years old,128,2011
owner,$40000 to $49999,25 to 29 years old,337,2011
owner,$40000 to $49999,30 to 34 years old,512,2011
owner,$40000 to $49999,35 to 44 years old,992,2011
owner,$40000 to $49999,45 to 54 years old,1323,2011
owner,$40000 to $49999,55 to 64 years old,1437,2011
owner,$40000 to $49999,65 to 74 years old,1121,2011
owner,$40000 to $49999,75 years old and over,816,2011
owner,$50000 to $59999,Under 25 years old,71,2011
owner,$50000 to $59999,25 to 29 years old,387,2011
owner,$50000 to $59999,30 to 34 years old,490,2011
owner,$50000 to $59999,35 to 44 years old,940,2011
owner,$50000 to $59999,45 to 54 years old,1281,2011
owner,$50000 to $59999,55 to 64 years old,1304,2011
owner,$50000 to $59999,65 to 74 years old,968,2011
owner,$50000 to $59999,75 years old and over,600,2011
owner,$60000 to $79999,Under 25 years old,126,2011
owner,$60000 to $79999,25 to 29 years old,627,2011
owner,$60000 to $79999,30 to 34 years old,946,2011
owner,$60000 to $79999,35 to 44 years old,2209,2011
owner,$60000 to $79999,45 to 54 years old,2421,2011
owner,$60000 to $79999,55 to 64 years old,2403,2011
owner,$60000 to $79999,65 to 74 years old,1235,2011
owner,$60000 to $79999,75 years old and over,642,2011
owner,$80000 to $99999,Under 25 years old,63,2011
owner,$80000 to $99999,25 to 29 years old,408,2011
owner,$80000 to $99999,30 to 34 years old,744,2011
owner,$80000 to $99999,35 to 44 years old,1655,2011
owner,$80000 to $99999,45 to 54 years old,2124,2011
owner,$80000 to $99999,55 to 64 years old,1867,2011
owner,$80000 to $99999,65 to 74 years old,728,2011
owner,$80000 to $99999,75 years old and over,375,2011
owner,$100000 to $119999,Under 25 years old,32,2011
owner,$100000 to $119999,25 to 29 years old,239,2011
owner,$100000 to $119999,30 to 34 years old,545,2011
owner,$100000 to $119999,35 to 44 years old,1353,2011
owner,$100000 to $119999,45 to 54 years old,1702,2011
owner,$100000 to $119999,55 to 64 years old,1340,2011
owner,$100000 to $119999,65 to 74 years old,433,2011
owner,$100000 to $119999,75 years old and over,212,2011
owner,$120000 or more,Under 25 years old,15,2011
owner,$120000 or more,25 to 29 years old,262,2011
owner,$120000 or more,30 to 34 years old,1020,2011
owner,$120000 or more,35 to 44 years old,3283,2011
owner,$120000 or more,45 to 54 years old,4224,2011
owner,$120000 or more,55 to 64 years old,3148,2011
owner,$120000 or more,65 to 74 years old,954,2011
owner,$120000 or more,75 years old and over,389,2011
renter,Less than $10000,Under 25 years old,1213,2011
renter,Less than $10000,25 to 29 years old,754,2011
renter,Less than $10000,30 to 34 years old,673,2011
renter,Less than $10000,35 to 44 years old,1008,2011
renter,Less than $10000,45 to 54 years old,1162,2011
renter,Less than $10000,55 to 64 years old,893,2011
renter,Less than $10000,65 to 74 years old,627,2011
renter,Less than $10000,75 years old and over,659,2011
renter,$10000 to $19999,Under 25 years old,918,2011
renter,$10000 to $19999,25 to 29 years old,777,2011
renter,$10000 to $19999,30 to 34 years old,680,2011
renter,$10000 to $19999,35 to 44 years old,981,2011
renter,$10000 to $19999,45 to 54 years old,1093,2011
renter,$10000 to $19999,55 to 64 years old,868,2011
renter,$10000 to $19999,65 to 74 years old,635,2011
renter,$10000 to $19999,75 years old and over,861,2011
renter,$20000 to $29999,Under 25 years old,737,2011
renter,$20000 to $29999,25 to 29 years old,928,2011
renter,$20000 to $29999,30 to 34 years old,735,2011
renter,$20000 to $29999,35 to 44 years old,1285,2011
renter,$20000 to $29999,45 to 54 years old,971,2011
renter,$20000 to $29999,55 to 64 years old,752,2011
renter,$20000 to $29999,65 to 74 years old,405,2011
renter,$20000 to $29999,75 years old and over,466,2011
renter,$30000 to $39999,Under 25 years old,514,2011
renter,$30000 to $39999,25 to 29 years old,766,2011
renter,$30000 to $39999,30 to 34 years old,694,2011
renter,$30000 to $39999,35 to 44 years old,979,2011
renter,$30000 to $39999,45 to 54 years old,810,2011
renter,$30000 to $39999,55 to 64 years old,533,2011
