homeownership,income,age,total,year
renter,Less than $10000,Under 25 years old,1213,2011
renter,Less than $10000,25 to 29 years old,754,2011
renter,Less than $10000,30 to 34 years old,673,2011
renter,Less than $10000,35 to 44 years old,1008,2011
renter,Less than $10000,45 to 54 years old,1162,2011
renter,Less than $10000,55 to 64 years old,893,2011
renter,Less than $10000,65 to 74 years old,627,2011
renter,Less than $10000,75 years old and over,659,2011
renter,$10000 to $19999,Under 25 years old,918,2011
renter,$10000 to $19999,25 to 29 years old,777,2011
renter,$10000 to $19999,30 to 34 years old,680,2011
renter,$10000 to $19999,35 to 44 years old,981,2011
renter,$10000 to $19999,45 to 54 years old,1093,2011
renter,$10000 to $19999,55 to 64 years old,868,2011
renter,$10000 to $19999,65 to 74 years old,635,2011
renter,$10000 to $19999,75 years old and over,861,2011
renter,$20000 to $29999,Under 25 years old,737,2011
renter,$20000 to $29999,25 to 29 years old,928,2011
renter,$20000 to $29999,30 to 34 years old,735,2011
renter,$20000 to $29999,35 to 44 years old,1285,2011
renter,$20000 to $29999,45 to 54 years old,971,2011
renter,$20000 to $29999,55 to 64 years old,752,2011
renter,$20000 to $29999,65 to 74 years old,405,2011
renter,$20000 to $29999,75 years old and over,466,2011
renter,$30000 to $39999,Under 25 years old,514,2011
renter,$30000 to $39999,25 to 29 years old,766,2011
renter,$30000 to $39999,30 to 34 years old,694,2011
renter,$30000 to $39999,35 to 44 years old,979,2011
renter,$30000 to $39999,45 to 54 years old,810,2011
renter,$30000 to $39999,55 to 64 years old,533,2011
renter,$30000 to $39999,65 to 74 years old,224,2011
renter,$30000 to $39999,75 years old and over,173,2011
renter,$40000 to $49999,Under 25 years old,347,2011
renter,$40000 to $49999,25 to 29 years old,617,2011
renter,$40000 to $49999,30 to 34 years old,606,2011
renter,$40000 to $49999,35 to 44 years old,720,2011
renter,$40000 to $49999,45 to 54 years old,595,2011
renter,$40000 to $49999,55 to 64 years old,323,2011
renter,$40000 to $49999,65 to 74 years old,157,2011
renter,$40000 to $49999,75 years old and over,89,2011
renter,$50000 to $59999,Under 25 years old,228,2011
renter,$50000 to $59999,25 to 29 years old,456,2011
renter,$50000 to $59999,30 to 34 years old,460,2011
renter,$50000 to $59999,35 to 44 years old,638,2011
renter,$50000 to $59999,45 to 54 years old,440,2011
renter,$50000 to $59999,55 to 64 years old,225,2011
renter,$50000 to $59999,65 to 74 years old,106,2011
renter,$50000 to $59999,75 years old and over,50,2011
renter,$60000 to $79999,Under 25 years old,250,2011
renter,$60000 to $79999,25 to 29 years old,613,2011
renter,$60000 to $79999,30 to 34 years old,631,2011
renter,$60000 to $79999,35 to 44 years old,796,2011
renter,$60000 to $79999,45 to 54 years old,634,2011
renter,$60000 to $79999,55 to 64 years old,387,2011
renter,$60000 to $79999,65 to 74 years old,122,2011
renter,$60000 to $79999,75 years old and over,76,2011
renter,$80000 to $99999,Under 25 years old,127,2011
renter,$80000 to $99999,25 to 29 years old,338,2011
renter,$80000 to $99999,30 to 34 years old,374,2011
renter,$80000 to $99999,35 to 44 years old,413,2011
renter,$80000 to $99999,45 to 54 years old,342,2011
renter,$80000 to $99999,55 to 64 years old,215,2011
renter,$80000 to $99999,65 to 74 years old,42,2011
renter,$80000 to $99999,75 years old and over,26,2011
renter,$100000 to $119999,Under 25 years old,44,2011
renter,$100000 to $119999,25 to 29 years old,182,2011
renter,$100000 to $119999,30 to 34 years old,206,2011
renter,$100000 to $119999,35 to 44 years old,231,2011
renter,$100000 to $119999,45 to 54 years old,199,2011
renter,$100000 to $119999,55 to 64 years old,101,2011
renter,$100000 to $119999,65 to 74 years old,14,2011
renter,$100000 to $119999,75 years old and over,16,2011
renter,$120000 or more,Under 25 years old,87,2011
renter,$120000 or more,25 to 29 years old,270,2011
renter,$120000 or more,30 to 34 years old,322,2011
renter,$120000 or more,35 to 44 years old,446,2011
renter,$120000 or more,45 to 54 years old,260,2011
renter,$120000 or more,55 to 64 years old,138,2011
renter,$120000 or more,65 to 74 years old,25,2011
renter,$120000 or more,75 years old and over,24,2011
renter,Less than $10000,Under 25 years old,1018,2013
renter,Less than $10000,25 to 29 years old,705,2013
renter,Less than $10000,30 to 34 years old,641,2013
renter,Less than $10000,35 to 44 years old,956,2013
renter,Less than $10000,45 to 54 years old,1145,2013
renter,Less than $10000,55 to 64 years old,1018,2013
renter,Less than $10000,65 to 74 years old,658,2013
renter,Less than $10000,75 years old and over,643,2013
renter,$10000 to $19999,Under 25 years old,752,2013
renter,$10000 to $19999,25 to 29 years old,666,2013
renter,$10000 to $19999,30 to 34 years old,589,2013
renter,$10000 to $19999,35 to 44 years old,967,2013
renter,$10000 to $19999,45 to 54 years old,926,2013
renter,$10000 to $19999,55 to 64 years old,985,2013
renter,$10000 to $19999,65 to 74 years old,704,2013
renter,$10000 to $19999,75 years old and over,840,2013
renter,$20000 to $29999,Under 25 years old,708,2013
renter,$20000 to $29999,25 to 29 years old,792,2013
renter,$20000 to $29999,30 to 34 years old,839,2013
renter,$20000 to $29999,35 to 44 years old,1157,2013
renter,$20000 to $29999,45 to 54 years old,984,2013
renter,$20000 to $29999,55 to 64 years old,844,2013
renter,$20000 to $29999,65 to 74 years old,440,2013
renter,$20000 to $29999,75 years old and over,421,2013
renter,$30000 to $39999,Under 25 years old,596,2013
renter,$30000 to $39999,25 to 29 years old,751,2013
renter,$30000 to $39999,30 to 34 years old,678,2013
renter,$30000 to $39999,35 to 44 years old,958,2013
renter,$30000 to $39999,45 to 54 years old,754,2013
renter,$30000 to $39999,55 to 64 years old,565,2013
renter,$30000 to $39999,65 to 74 years old,281,2013
renter,$30000 to $39999,75 years old and over,222,2013
renter,$40000 to $49999,Under 25 years old,424,2013
renter,$40000 to $49999,25 to 29 years old,645,2013
renter,$40000 to $49999,30 to 34 years old,554,2013
renter,$40000 to $49999,35 to 44 years old,895,2013
renter,$40000 to $49999,45 to 54 years old,701,2013
renter,$40000 to $49999,55 to 64 years old,407,2013
renter,$40000 to $49999,65 to 74 years old,171,2013
renter,$40000 to $49999,75 years old and over,106,2013
renter,$50000 to $59999,Under 25 years old,206,2013
renter,$50000 to $59999,25 to 29 years old,470,2013
renter,$50000 to $59999,30 to 34 years old,483,2013
renter,$50000 to $59999,35 to 44 years old,634,2013
renter,$50000 to $59999,45 to 54 years old,517,2013
renter,$50000 to $59999,55 to 64 years old,279,2013
renter,$50000 to $59999,65 to 74 years old,116,2013
renter,$50000 to $59999,75 years old and over,71,2013
renter,$60000 to $79999,Under 25 years old,369,2013
renter,$60000 to $79999,25 to 29 years old,659,2013
renter,$60000 to $79999,30 to 34 years old,709,2013
renter,$60000 to $79999,35 to 44 years old,986,2013
renter,$60000 to $79999,45 to 54 years old,710,2013
renter,$60000 to $79999,55 to 64 years old,408,2013
renter,$60000 to $79999,65 to 74 years old,125,2013
renter,$60000 to $79999,75 years old and over,75,2013
renter,$80000 to $99999,Under 25 years old,102,2013
renter,$80000 to $99999,25 to 29 years old,382,2013
renter,$80000 to $99999,30 to 34 years old,430,2013
renter,$80000 to $99999,35 to 44 years old,511,2013
renter,$80000 to $99999,45 to 54 years old,353,2013
renter,$80000 to $99999,55 to 64 years old,220,2013
renter,$80000 to $99999,65 to 74 years old,70,2013
renter,$80000 to $99999,75 years old and over,36,2013
renter,$100000 to $119999,Under 25 years old,62,2013
renter,$100000 to $119999,25 to 29 years old,218,2013
renter,$100000 to $119999,30 to 34 years old,218,2013
renter,$100000 to $119999,35 to 44 years old,278,2013
renter,$100000 to $119999,45 to 54 years old,235,2013
renter,$100000 to $119999,55 to 64 years old,135,2013
renter,$100000 to $119999,65 to 74 years old,35,2013
renter,$100000 to $119999,75 years old and over,32,2013
renter,$120000 or more,Under 25 years old,108,2013
renter,$120000 or more,25 to 29 years old,276,2013
renter,$120000 or more,30 to 34 years old,366,2013
renter,$120000 or more,35 to 44 years old,506,2013
renter,$120000 or more,45 to 54 years old,375,2013
renter,$120000 or more,55 to 64 years old,230,2013
renter,$120000 or more,65 to 74 years old,75,2013
renter,$120000 or more,75 years old and over,26,2013
renter,Less than $10000,Under 25 years old,835,2015
renter,Less than $10000,25 to 29 years old,678,2015
renter,Less than $10000,30 to 34 years old,631,2015
renter,Less than $10000,35 to 44 years old,940,2015
renter,Less than $10000,45 to 54 years old,974,2015
renter,Less than $10000,55 to 64 years old,1174,2015
renter,Less than $10000,65 to 74 years old,712,2015
renter,Less than $10000,75 years old and over,659,2015
renter,$10000 to $19999,Under 25 years old,694,2015
renter,$10000 to $19999,25 to 29 years old,594,2015
renter,$10000 to $19999,30 to 34 years old,658,2015
renter,$10000 to $19999,35 to 44 years old,1121,2015
renter,$10000 to $19999,45 to 54 years old,1004,2015
renter,$10000 to $19999,55 to 64 years old,1103,2015
renter,$10000 to $19999,65 to 74 years old,905,2015
renter,$10000 to $19999,75 years old and over,974,2015
renter,$20000 to $29999,Under 25 years old,648,2015
renter,$20000 to $29999,25 to 29 years old,776,2015
renter,$20000 to $29999,30 to 34 years old,727,2015
renter,$20000 to $29999,35 to 44 years old,1130,2015
renter,$20000 to $29999,45 to 54 years old,1079,2015
renter,$20000 to $29999,55 to 64 years old,835,2015
renter,$20000 to $29999,65 to 74 years old,522,2015
renter,$20000 to $29999,75 years old and over,497,2015
renter,$30000 to $39999,Under 25 years old,485,2015
renter,$30000 to $39999,25 to 29 years old,764,2015
renter,$30000 to $39999,30 to 34 years old,796,2015
renter,$30000 to $39999,35 to 44 years old,1113,2015
renter,$30000 to $39999,45 to 54 years old,934,2015
renter,$30000 to $39999,55 to 64 years old,664,2015
renter,$30000 to $39999,65 to 74 years old,397,2015
renter,$30000 to $39999,75 years old and over,261,2015
renter,$40000 to $49999,Under 25 years old,296,2015
renter,$40000 to $49999,25 to 29 years old,642,2015
renter,$40000 to $49999,30 to 34 years old,620,2015
renter,$40000 to $49999,35 to 44 years old,992,2015
renter,$40000 to $49999,45 to 54 years old,684,2015
renter,$40000 to $49999,55 to 64 years old,476,2015
renter,$40000 to $49999,65 to 74 years old,202,2015
