"age","percentage"
"Under 25 years old","0.03597769382982550818"
"25 to 29 years old","0.04283058789264941451"
"30 to 34 years old","0.09337068160597572362"
"35 to 44 years old","0.30238395052210486641"
"45 to 54 years old","0.45143439638852482889"
"55 to 64 years old","0.93456342781761022452"
"65 to 74 years old","0.98938658032020147509"
"75 years old and over","0.99538286262517239312"
"Under 25 years old","0.000000000000000000000000"
"25 to 29 years old","0.02655496449344263699"
"30 to 34 years old","0.05225331722903228570"
"35 to 44 years old","0.23471162165171879149"
"45 to 54 years old","0.31608973864775267905"
"55 to 64 years old","0.75638818218418866017"
"65 to 74 years old","1.1658486024379171"
"75 years old and over","1.4022734476053418"
"Under 25 years old","0.05054009371332630912"
"25 to 29 years old","0.09165745809026974704"
"30 to 34 years old","0.13363143422506617326"
"35 to 44 years old","0.31608973864775267905"
"45 to 54 years old","0.41888314959011127387"
"55 to 64 years old","0.90458201629275563436"
"65 to 74 years old","1.4271151885830785"
"75 years old and over","1.4879346233906407"
"Under 25 years old","0.05824959953400320373"
"25 to 29 years old","0.15761656344494984538"
"30 to 34 years old","0.10279341094235859481"
"35 to 44 years old","0.43001910244220012164"
"45 to 54 years old","0.56022408963585434174"
"55 to 64 years old","1.0707646973162354"
"65 to 74 years old","1.2103924138462725"
"75 years old and over","1.1495729790387103"
"Under 25 years old","0.06767232887038607492"
"25 to 29 years old","0.18845458672765742383"
"30 to 34 years old","0.26212319790301441678"
"35 to 44 years old","0.51482366646964596236"
"45 to 54 years old","0.74696545284780578898"
"55 to 64 years old","0.93627665133331620110"
"65 to 74 years old","1.2198151431826553"
"75 years old and over","1.01080187426652618234"
"Under 25 years old","0.06424588183897412176"
"25 to 29 years old","0.17817524563342156434"
"30 to 34 years old","0.22186244528392396714"
"35 to 44 years old","0.51739350174320492723"
"45 to 54 years old","0.65702121827324201852"
"55 to 64 years old","1.0502060151277636"
"65 to 74 years old","1.1075990029039139"
"75 years old and over","0.74011255878498188266"
"Under 25 years old","0.09422729336382871191"
"25 to 29 years old","0.40175091443305150806"
"30 to 34 years old","0.55422780733088342371"
"35 to 44 years old","1.4074131181524598"
"45 to 54 years old","1.4365379179194614"
"55 to 64 years old","2.1158310418968811"
"65 to 74 years old","1.7766127857870977"
"75 years old and over","1.1255878498188266"
"Under 25 years old","0.06253265832326814518"
"25 to 29 years old","0.24242112747239568610"
"30 to 34 years old","0.54994474854161848226"
"35 to 44 years old","1.3645825302598103"
"45 to 54 years old","1.3680089772912223"
"55 to 64 years old","1.7834656798499216"
"65 to 74 years old","1.2497965547075099"
"75 years old and over","0.71527081780724522225"
"Under 25 years old","0.04968348195547332083"
"25 to 29 years old","0.26554964493442636994"
"30 to 34 years old","0.63731914784262328785"
"35 to 44 years old","1.3457370715870446"
"45 to 54 years old","1.3714354243226343"
"55 to 64 years old","1.4716589999914339"
"65 to 74 years old","0.89344606344066678659"
"75 years old and over","0.42744926716864115677"
"Under 25 years old","0.15932978696065582196"
"25 to 29 years old","0.44286827880999494599"
"30 to 34 years old","1.02622088590787997156"
"35 to 44 years old","1.1392936379444744"
"45 to 54 years old","1.1761279435321529"
"55 to 64 years old","0.60305467752850375624"
"65 to 74 years old","0.25955336262945545191"
"75 years old and over",NULL
"Under 25 years old","0.000000000000000000000000"
"25 to 29 years old","0.15761656344494984538"
"30 to 34 years old","0.36919966763463795304"
"35 to 44 years old","0.96283161582675883809"
"45 to 54 years old","0.92685392199693332991"
"55 to 64 years old","0.93713326309116918939"
"65 to 74 years old","0.46856663154558459469"
"75 years old and over","0.15247689289783191564"
"Under 25 years old","0.000000000000000000000000"
"25 to 29 years old","0.08908762281671078217"
"30 to 34 years old","0.19873392782189328331"
"35 to 44 years old","0.62875303026409340495"
"45 to 54 years old","0.24156451571454269781"
"Under 25 years old","0.50111787834399814972"
"25 to 29 years old","0.42744926716864115677"
"30 to 34 years old","0.38975834982310967200"
"35 to 44 years old","0.65016832421041811220"
"45 to 54 years old","0.67757990046171373748"
"55 to 64 years old","1.0630551914955585"
"65 to 74 years old","0.70927453550227430422"
"75 years old and over","0.62532658323268145179"
"Under 25 years old","0.28953477415431004206"
"25 to 29 years old","0.33836164435193037460"
"30 to 34 years old","0.36577322060322599988"
"35 to 44 years old","0.66987039464103684287"
"45 to 54 years old","0.57392987776150215438"
"55 to 64 years old","0.89944234574563770462"
"65 to 74 years old","0.93627665133331620110"
"75 years old and over","0.77866008788836635572"
"Under 25 years old","0.48141580791337941905"
"25 to 29 years old","0.41631331431655230900"
"30 to 34 years old","0.48912531373405631366"
"35 to 44 years old","0.81035472292892692245"
"45 to 54 years old","0.63731914784262328785"
"55 to 64 years old","0.69813858265018545645"
"65 to 74 years old","0.50968399592252803262"
"75 years old and over","0.50625754889111607946"
"Under 25 years old","0.34178809138334232776"
"25 to 29 years old","0.56707698369867824806"
"30 to 34 years old","0.55080136029947147055"
"35 to 44 years old","0.87203076949434207934"
"45 to 54 years old","0.71098775901798028080"
"55 to 64 years old","0.48227241967123240734"
"65 to 74 years old","0.46085712572490770008"
"75 years old and over","0.28353849184933912403"
"Under 25 years old","0.34607115017260726921"
"25 to 29 years old","0.51568027822749895065"
"30 to 34 years old","0.50797077240682205604"
"35 to 44 years old","0.82663034632813369996"
"45 to 54 years old","0.60648112455991570940"
"55 to 64 years old","0.54823152502591250568"
"65 to 74 years old","0.28096865657578015916"
"75 years old and over","0.20044715133759925989"
"Under 25 years old","0.30838023282707578444"
"25 to 29 years old","0.42916249068434713335"
"30 to 34 years old","0.43001910244220012164"
"35 to 44 years old","0.69899519440803844474"
"45 to 54 years old","0.49426498428117424340"
"55 to 64 years old","0.40346413794875748465"
"65 to 74 years old","0.18417152793839248238"
"75 years old and over","0.11821242258371238404"
"Under 25 years old","0.40346413794875748465"
"25 to 29 years old","0.74011255878498188266"
"30 to 34 years old","0.71013114726012729251"
"35 to 44 years old","1.2086791903305665"
"45 to 54 years old","0.82834356984383967654"
"55 to 64 years old","0.58934888940285594360"
"65 to 74 years old","0.28268188009148613574"
"75 years old and over","0.15504672817139088051"
"Under 25 years old","0.18502813969624547067"
"25 to 29 years old","0.44715133759925988744"
