"year","change"
2011,NULL
2011,32
2011,236
2011,304
2011,287
2011,-186
2011,318
2011,-1057
2011,59
2011,15
2011,278
2011,327
2011,249
2011,295
2011,768
2011,-1973
2011,117
2011,111
2011,461
2011,440
2011,426
2011,76
2011,248
2011,-1875
2011,207
2011,106
2011,471
2011,345
2011,231
2011,53
2011,-270
2011,-1115
2011,209
2011,175
2011,480
2011,331
2011,114
2011,-316
2011,-305
2011,-745
2011,316
2011,103
2011,450
2011,341
2011,23
2011,-336
2011,-368
2011,-474
2011,501
2011,319
2011,1263
2011,212
2011,-18
2011,-1168
2011,-593
2011,-579
2011,345
2011,336
2011,911
2011,469
2011,-257
2011,-1139
2011,-353
2011,-343
2011,207
2011,306
2011,808
2011,349
2011,-362
2011,-907
2011,-221
2011,-197
2011,247
2011,758
2011,2263
2011,941
2011,-1076
2011,-2194
2011,-565
2011,-246
2011,1070
2011,-459
2011,-81
2011,335
2011,154
2011,-269
2011,-266
2011,32
2011,259
2011,-141
2011,-97
2011,301
2011,112
2011,-225
2011,-233
2011,226
2011,-124
2011,191
2011,-193
2011,550
2011,-314
2011,-219
2011,-347
2011,61
2011,48
2011,252
2011,-72
2011,285
2011,-169
2011,-277
2011,-309
2011,-51
2011,174
2011,270
2011,-11
2011,114
2011,-125
2011,-272
2011,-166
2011,-68
2011,139
2011,228
2011,4
2011,178
2011,-198
2011,-215
2011,-119
2011,-56
2011,200
2011,363
2011,18
2011,165
2011,-162
2011,-247
2011,-265
2011,-46
2011,51
2011,211
2011,36
2011,39
2011,-71
2011,-127
2011,-173
2011,-16
2011,18
2011,138
2011,24
2011,25
2011,-32
2011,-98
2011,-87
2011,2
2011,71
2011,183
2011,52
2011,124
2011,-186
2011,-122
2011,-113
2011,-1
2013,384
2013,-317
2013,64
2013,77
2013,135
2013,350
2013,288
2013,-139
2013,326
2013,-1136
2013,70
2013,53
2013,204
2013,205
2013,499
2013,317
2013,623
2013,-1917
2013,90
2013,144
2013,342
2013,430
2013,408
2013,331
2013,93
2013,-1809
2013,104
2013,173
2013,370
2013,154
2013,526
2013,-16
2013,-222
2013,-1117
2013,235
2013,7
2013,469
2013,395
2013,154
2013,-176
2013,-304
2013,-823
2013,271
2013,127
2013,449
2013,270
2013,83
2013,-325
2013,-321
2013,-511
2013,384
2013,383
2013,1049
2013,404
2013,-114
2013,-770
2013,-618
2013,-804
2013,346
2013,395
2013,904
2013,337
2013,-293
2013,-789
2013,-500
2013,-412
2013,252
2013,291
2013,759
2013,330
2013,-225
2013,-921
2013,-272
2013,-181
2013,290
2013,747
2013,2237
2013,1267
2013,-1093
2013,-2188
2013,-288
2013,-313
2013,-64
2013,315
2013,189
2013,-127
2013,-360
2013,-15
2013,109
2013,-86
2013,-77
2013,378
2013,-41
2013,59
2013,-281
2013,136
2013,-132
2013,84
2013,47
2013,318
2013,-173
2013,-140
2013,-404
2013,-19
2013,175
2013,155
2013,-73
2013,280
2013,-204
2013,-189
2013,-284
2013,-59
2013,202
2013,221
2013,-91
2013,341
2013,-194
2013,-294
2013,-236
2013,-65
2013,100
2013,264
2013,13
2013,151
2013,-117
2013,-238
2013,-163
2013,-45
2013,298
2013,290
2013,50
2013,277
2013,-276
2013,-585
2013,-50
2013,27
2013,280
2013,48
2013,81
2013,-158
2013,-133
2013,-150
2013,-34
2013,26
2013,156
2013,0
2013,60
2013,-43
2013,-100
2013,-100
2013,-3
2013,76
2013,168
2013,90
2013,140
2013,-131
2013,-145
2013,-155
2013,-49
2015,63
2015,-45
2015,31
2015,11
2015,234
2015,311
2015,400
2015,-107
