"homeownership","income","percentage"
"owner","Less than $10000","0.03597769382982550818"
"owner","Less than $10000","0.04283058789264941451"
"owner","Less than $10000","0.09337068160597572362"
"owner","Less than $10000","0.30238395052210486641"
"owner","Less than $10000","0.45143439638852482889"
"owner","Less than $10000","0.93456342781761022452"
"owner","Less than $10000","0.98938658032020147509"
"owner","Less than $10000","0.99538286262517239312"
"owner","$10000 to $19999","0.000000000000000000000000"
"owner","$10000 to $19999","0.02655496449344263699"
"owner","$10000 to $19999","0.05225331722903228570"
"owner","$10000 to $19999","0.23471162165171879149"
"owner","$10000 to $19999","0.31608973864775267905"
"owner","$10000 to $19999","0.75638818218418866017"
"owner","$10000 to $19999","1.1658486024379171"
"owner","$10000 to $19999","1.4022734476053418"
"owner","$20000 to $29999","0.05054009371332630912"
"owner","$20000 to $29999","0.09165745809026974704"
"owner","$20000 to $29999","0.13363143422506617326"
"owner","$20000 to $29999","0.31608973864775267905"
"owner","$20000 to $29999","0.41888314959011127387"
"owner","$20000 to $29999","0.90458201629275563436"
"owner","$20000 to $29999","1.4271151885830785"
"owner","$20000 to $29999","1.4879346233906407"
"owner","$30000 to $39999","0.05824959953400320373"
"owner","$30000 to $39999","0.15761656344494984538"
"owner","$30000 to $39999","0.10279341094235859481"
"owner","$30000 to $39999","0.43001910244220012164"
"owner","$30000 to $39999","0.56022408963585434174"
"owner","$30000 to $39999","1.0707646973162354"
"owner","$30000 to $39999","1.2103924138462725"
"owner","$30000 to $39999","1.1495729790387103"
"owner","$40000 to $49999","0.06767232887038607492"
"owner","$40000 to $49999","0.18845458672765742383"
"owner","$40000 to $49999","0.26212319790301441678"
"owner","$40000 to $49999","0.51482366646964596236"
"owner","$40000 to $49999","0.74696545284780578898"
"owner","$40000 to $49999","0.93627665133331620110"
"owner","$40000 to $49999","1.2198151431826553"
"owner","$40000 to $49999","1.01080187426652618234"
"owner","$50000 to $59999","0.06424588183897412176"
"owner","$50000 to $59999","0.17817524563342156434"
"owner","$50000 to $59999","0.22186244528392396714"
"owner","$50000 to $59999","0.51739350174320492723"
"owner","$50000 to $59999","0.65702121827324201852"
"owner","$50000 to $59999","1.0502060151277636"
"owner","$50000 to $59999","1.1075990029039139"
"owner","$50000 to $59999","0.74011255878498188266"
"owner","$60000 to $79999","0.09422729336382871191"
"owner","$60000 to $79999","0.40175091443305150806"
"owner","$60000 to $79999","0.55422780733088342371"
"owner","$60000 to $79999","1.4074131181524598"
"owner","$60000 to $79999","1.4365379179194614"
"owner","$60000 to $79999","2.1158310418968811"
"owner","$60000 to $79999","1.7766127857870977"
"owner","$60000 to $79999","1.1255878498188266"
"owner","$80000 to $99999","0.06253265832326814518"
"owner","$80000 to $99999","0.24242112747239568610"
"owner","$80000 to $99999","0.54994474854161848226"
"owner","$80000 to $99999","1.3645825302598103"
"owner","$80000 to $99999","1.3680089772912223"
"owner","$80000 to $99999","1.7834656798499216"
"owner","$80000 to $99999","1.2497965547075099"
"owner","$80000 to $99999","0.71527081780724522225"
"owner","$100000 to $119999","0.04968348195547332083"
